MD,WOB,RPM,TOR,MSE,ROP,WOB min,TOR max,TOR min,Rotary RPM,Diff,Surface MSE,Fm,top,bottom,ftype,Section,Start depth
1577.5,14.1,277.71,3.37,707.43,67.23,11.3,14.916,14.398,80.56,314.21,2966.912392,,,,,,
1578,12.3,277.85,3.37,540.79,88.42,10.9,17.92,14.812,80.56,314.56,2323.577338,,,,,,
1578.5,12.1,277.71,3.45,524.78,93.23,11.4,17.609,16.159,80.56,321.89,2402.052414,,,,,,
1579,11.4,277.68,3.58,525.13,96.69,9.4,20.457,15.589,80.39,334.69,2234.379146,,,,,,
1579.5,10,278.02,3.27,460.4,100.79,9.6,16.159,15.019,80.87,305.5,2066.912376,,,,,,
1580,11.5,277.83,3.71,493.44,106.66,10.8,19.318,19.266,80.53,346.01,2502.912311,,,,,,
1580.5,10.5,277.73,3.62,479.46,106.89,10.4,19.266,16.78,80.44,337.67,2175.182384,,,,,,
1581,11,277.71,3.62,478.2,107.32,10.3,16.521,16.314,80.56,337.67,2107.203911,,,,,,
1581.5,10.8,277.62,3.6,461.47,110.57,10.8,17.091,15.33,80.33,335.65,1922.304987,,,,,,
1582,15.4,277.79,3.5,440.39,114.52,10.7,15.278,14.605,80.5,326.46,1776.349587,,,,,,
1582.5,15.9,277.82,3.25,413.1,113.99,15.3,14.605,13.258,80.53,303.33,1622.58247,,,,,,
1583,15.2,277.94,3.98,818.45,68.62,15.2,14.398,12.792,80.64,371.4,2588.441625,,,,,,
1583.5,16.2,277.4,3.9,765.88,72.07,15.9,13.362,12.326,80.25,364.48,2373.086347,,,,,,
1584,16.4,277.93,4.15,673.7,87.68,15.6,19.681,16.003,80.78,387.66,2536.164906,,,,,,
1584.5,16.4,277.53,4.41,710.71,87.91,15.4,19.836,16.625,80.53,411.31,2623.337084,,,,,,
1585,15.9,277.44,4.37,679.81,91.26,15.5,17.454,14.76,80.44,408.38,2245.263313,,,,,,
1585.5,17.9,277.85,4.74,738.61,91.19,14.2,19.422,18.645,80.56,442.21,2839.742687,,,,,,
